,City,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,tiksi,2,1579569542,89,71.69,128.87,-27.22,4.47
1,ushuaia,75,1579569542,81,-54.8,-68.3,50.0,5.82
2,freeport,1,1579569542,30,40.66,-73.58,28.99,8.05
3,riyadh,0,1579569298,62,24.69,46.72,51.8,3.36
4,nikolskoye,90,1579569543,80,59.7,30.79,41.0,13.42
5,banjar,20,1579569543,83,-8.19,114.97,84.2,3.36
6,port alfred,95,1579569543,90,-33.59,26.89,63.0,3.0
7,ampanihy,99,1579569543,75,-24.7,44.75,67.55,15.17
8,kiomboi,100,1579569543,94,-4.27,34.37,63.72,1.81
9,srednekolymsk,100,1579569543,97,67.45,153.68,-26.12,10.42
10,qaanaaq,99,1579569544,75,77.48,-69.36,-11.88,7.07
11,mataura,100,1579569544,72,-46.19,168.86,67.64,3.56
12,ribeira grande,100,1579569544,82,38.52,-28.7,57.34,16.96
13,cayenne,90,1579569544,74,4.93,-52.33,80.6,9.17
14,fleetwood,75,1579569544,100,53.93,-3.01,44.01,3.36
15,kapaa,90,1579569544,83,22.08,-159.32,78.8,13.87
16,japura,84,1579569544,96,-0.32,102.35,74.52,0.89
17,yerbogachen,92,1579569545,93,61.28,108.01,-9.29,9.73
18,pangnirtung,70,1579569545,78,66.15,-65.71,-16.82,7.11
19,caohai,0,1579569545,77,26.87,104.28,38.53,10.11
20,ostrovnoy,98,1579569545,90,68.05,39.51,27.12,17.94
21,surt,0,1579569545,67,31.21,16.59,53.65,14.85
22,linjiang,84,1579569545,97,41.81,126.91,-0.38,4.14
23,bluff,99,1579569546,66,-46.6,168.33,66.83,5.88
24,barrow,90,1579569525,76,71.29,-156.79,-4.0,9.17
25,punta arenas,40,1579569315,67,-53.15,-70.92,57.2,12.75
26,baixo guandu,90,1579569546,94,-19.52,-41.02,70.99,4.59
27,pemangkat,76,1579569546,89,1.17,108.97,75.52,5.7
28,esmeraldas,75,1579569546,100,-19.76,-44.31,68.0,4.7
29,gladstone,75,1579569546,62,-23.85,151.25,87.8,9.17
30,phan thiet,2,1579569547,68,10.93,108.1,70.72,2.33
31,puerto ayora,40,1579569547,69,-0.74,-90.35,82.4,11.41
32,saint george,1,1579569376,32,37.1,-113.58,53.6,9.17
33,ilulissat,100,1579569547,48,69.22,-51.1,17.6,18.34
34,pozhva,88,1579569547,96,59.09,56.08,3.61,4.76
35,swan river,55,1579569547,84,52.11,-101.27,17.15,13.2
36,aklavik,20,1579569547,74,68.22,-135.01,-22.0,3.36
37,hithadhoo,51,1579569548,79,-0.6,73.08,82.81,13.15
38,quatre cocos,75,1579569548,88,-20.21,57.76,80.01,14.56
39,busselton,94,1579569548,45,-33.65,115.33,72.0,16.06
40,rikitea,100,1579569548,75,-23.12,-134.97,78.42,8.1
41,airai,100,1579569548,60,-8.93,125.41,76.06,3.36
42,thinadhoo,17,1579569549,79,0.53,72.93,82.67,12.93
43,saint-pierre,100,1579569549,88,-21.34,55.48,77.0,8.05
44,souillac,75,1579569549,88,-20.52,57.52,80.01,4.74
45,berlevag,100,1579569549,80,70.86,29.09,38.64,31.43
46,pevek,100,1579569549,97,69.7,170.31,-14.42,8.97
47,kismayo,4,1579569549,79,-0.36,42.55,80.38,19.01
48,sao joao da barra,64,1579569549,93,-21.64,-41.05,72.19,10.67
49,camacha,75,1579569549,76,33.08,-16.33,59.0,17.22
50,port elizabeth,75,1579569276,72,-33.92,25.57,68.0,14.99
51,chabahar,0,1579569550,82,25.29,60.64,62.6,3.13
52,cururupu,97,1579569550,98,-1.83,-44.87,74.28,2.3
53,casteltermini,68,1579569550,81,37.54,13.64,57.0,14.27
54,juneau,90,1579569270,80,58.3,-134.42,35.6,17.22
55,hay river,75,1579569551,84,60.82,-115.8,8.6,6.93
56,eltham,14,1579569551,80,-39.43,174.3,73.0,4.0
57,kodiak,75,1579569551,67,57.79,-152.41,21.2,6.93
58,veraval,0,1579569551,52,20.9,70.37,60.62,4.52
59,bayangol,1,1579569551,85,50.7,103.47,-11.85,2.64
60,hobart,75,1579569282,55,-42.88,147.33,64.99,13.87
61,silopi,72,1579569552,81,37.25,42.47,41.5,3.06
62,kavaratti,19,1579569545,73,10.57,72.64,82.0,11.03
63,kahului,40,1579569410,57,20.89,-156.47,80.6,21.92
64,fernandez,58,1579569552,66,-27.92,-63.89,85.68,16.37
65,sao filipe,0,1579569552,76,14.9,-24.5,69.96,6.42
66,filadelfia,1,1579569450,38,39.95,-75.16,27.0,4.7
67,huaihua,100,1579569552,92,27.55,109.96,42.51,2.75
68,vestmannaeyjar,100,1579569553,74,63.44,-20.27,37.96,27.51
69,dakar,74,1579569272,88,14.69,-17.44,69.8,13.33
70,makakilo city,75,1579569526,65,21.35,-158.09,78.8,12.75
71,salalah,20,1579569553,60,17.02,54.09,69.8,5.82
72,east london,97,1579569553,82,-33.02,27.91,68.67,13.27
73,maumere,79,1579569553,76,-8.62,122.21,80.94,5.93
74,kabinda,21,1579569554,89,-6.13,24.48,69.48,1.92
75,woodbridge,1,1579569554,30,40.56,-74.28,28.99,9.44
76,jamestown,75,1579569392,85,42.1,-79.24,23.0,4.7
77,cape town,0,1579569554,77,-33.93,18.42,68.0,4.7
78,jiangyou,100,1579569554,89,31.77,104.72,32.92,0.81
79,tasiilaq,18,1579569554,47,65.61,-37.64,14.0,8.05
80,mbandaka,100,1579569555,70,0.05,18.26,76.33,0.87
81,dauphin,1,1579569555,72,51.15,-100.05,17.6,13.87
82,nakamura,0,1579569555,61,32.98,132.93,43.66,8.03
83,havelock,1,1579569507,68,34.88,-76.9,35.6,3.36
84,hofn,0,1579569555,62,64.25,-15.21,40.66,47.69
85,batagay-alyta,70,1579569556,98,67.8,130.41,-21.98,2.04
86,chanika,74,1579569556,94,-5.42,38.02,70.29,4.81
87,tuktoyaktuk,20,1579569556,74,69.45,-133.04,-22.0,5.82
88,saldanha,0,1579569556,82,-33.01,17.94,64.4,5.82
89,vao,100,1579569556,60,-22.67,167.48,76.48,7.54
90,mantua,60,1579569557,68,45.17,10.78,37.0,5.82
91,castro,34,1579569557,81,-24.79,-50.01,67.86,7.54
92,salinopolis,72,1579569557,80,-0.61,-47.36,81.75,19.06
93,hamilton,90,1579569312,79,39.18,-84.53,26.01,2.15
94,ygatimi,67,1579569557,76,-24.08,-55.5,79.57,3.87
95,mahebourg,75,1579569557,88,-20.41,57.7,80.01,4.74
96,torbay,90,1579569557,92,47.67,-52.73,26.01,5.82
97,yatou,55,1579569558,46,37.15,122.38,34.65,4.59
98,port macquarie,0,1579569558,23,-31.43,152.92,95.0,11.41
99,victoria,20,1579569320,72,22.29,114.16,68.0,10.29
100,tuatapere,100,1579569558,60,-46.13,167.68,69.96,5.21
101,vilyuysk,87,1579569558,94,63.76,121.62,-19.84,6.11
102,chokurdakh,100,1579569558,97,70.63,147.92,-17.36,8.3
103,killybegs,100,1579569558,90,54.63,-8.45,46.99,7.0
104,yumen,33,1579569559,78,40.28,97.2,12.13,12.12
105,richards bay,98,1579569559,64,-28.78,32.04,72.5,2.21
106,dikson,89,1579569559,92,73.51,80.55,-22.88,19.95
107,san javier,40,1579569559,100,37.81,-0.84,53.6,16.11
108,stornoway,100,1579569426,93,58.21,-6.39,50.0,16.11
109,mandera,24,1579569560,31,3.94,41.87,78.98,5.55
110,vaini,20,1579569560,66,-21.2,-175.2,84.2,12.75
111,stepnyak,100,1579569560,92,52.83,70.78,11.64,8.05
112,butaritari,100,1579569560,67,3.07,172.79,84.69,3.0
113,eurajoki,100,1579569560,70,61.3,21.75,44.6,17.22
114,hasaki,20,1579569560,42,35.73,140.83,48.99,8.05
115,sisimiut,100,1579569561,95,66.94,-53.67,5.67,2.77
116,cidreira,100,1579569398,87,-30.18,-50.21,75.81,27.27
117,asau,75,1579569561,80,46.43,26.4,30.2,10.29
118,mount gambier,40,1579569561,48,-37.83,140.77,64.4,6.93
119,ouegoa,11,1579569561,57,-20.35,164.43,81.48,2.46
120,liku,85,1579569561,82,-0.73,119.89,75.99,4.76
121,mar del plata,90,1579569482,93,-38.0,-57.56,64.99,12.75
122,kaeo,0,1579569562,61,-35.1,173.78,81.0,14.0
123,tsaratanana,100,1579569562,97,-16.78,47.65,70.0,6.04
124,flin flon,75,1579569562,84,54.77,-101.86,5.0,3.36
125,pacific grove,90,1579569562,71,36.62,-121.92,57.2,4.7
126,carnarvon,0,1579569562,73,-24.87,113.63,75.2,23.04
127,sergach,98,1579569562,97,55.53,45.47,30.06,9.13
128,waingapu,99,1579569563,79,-9.66,120.26,82.87,12.91
129,dingle,55,1579569563,82,11.0,122.67,73.24,12.15
130,nalut,0,1579569563,40,30.33,10.85,50.31,20.29
131,faanui,46,1579569563,74,-16.48,-151.75,81.59,11.39
132,aksarka,88,1579569563,92,66.56,67.8,-2.4,10.54
133,kimbe,57,1579569563,74,-5.55,150.14,83.66,3.0
134,lebu,0,1579569563,74,-37.62,-73.65,58.86,10.51
135,kavali,63,1579569564,82,14.92,79.98,70.41,2.15
136,springdale,1,1579569344,68,36.19,-94.13,30.99,5.82
137,hermanus,33,1579569564,91,-34.42,19.23,66.99,5.99
138,ahipara,17,1579569564,84,-35.17,173.17,64.78,12.59
139,lazaro cardenas,0,1579569564,72,17.96,-102.2,81.23,3.83
140,avarua,99,1579569564,83,-21.21,-159.78,82.4,10.29
141,bokhan,75,1579569564,89,53.15,103.77,-8.88,3.51
142,komsomolskiy,100,1579569565,86,40.43,71.72,30.2,2.24
143,kutum,0,1579569565,33,14.2,24.67,46.58,3.31
144,lata,33,1579569565,52,40.16,-8.33,48.99,8.05
145,san cristobal,40,1579569565,69,7.77,-72.22,82.4,4.7
146,shimoda,20,1579569565,46,34.67,138.95,53.6,12.75
147,vanimo,31,1579569565,79,-2.67,141.3,81.91,8.59
148,geraldton,75,1579569567,64,-28.77,114.6,71.6,27.51
149,fort nelson,90,1579569567,83,58.81,-122.7,-4.0,3.36
150,atuona,58,1579569567,74,-9.8,-139.03,81.28,11.27
151,ivanovskoye,75,1579569567,92,44.58,41.88,24.8,8.95
152,ixtapa,5,1579569568,78,20.7,-105.2,80.6,8.05
153,hualmay,100,1579569568,77,-11.1,-77.61,71.31,6.17
154,suclayin,100,1579569568,99,15.76,121.55,64.35,3.53
155,mabaruma,100,1579569568,92,8.2,-59.78,72.84,3.67
156,albany,1,1579569335,56,42.6,-73.97,18.0,5.82
157,anadyr,20,1579569568,75,64.75,177.48,-14.01,2.24
158,iqaluit,40,1579569569,60,63.75,-68.51,-25.01,18.34
159,port augusta,0,1579569569,56,-32.5,137.77,75.99,9.17
160,necochea,40,1579569569,92,-38.55,-58.74,64.99,8.01
161,bredasdorp,96,1579569569,82,-34.53,20.04,66.2,9.17
162,prabumulih,99,1579569569,92,-3.45,104.25,75.9,3.06
163,touros,40,1579569569,83,-5.2,-35.46,78.8,6.93
164,tiquisate,20,1579569570,62,14.28,-91.37,86.0,6.93
